Time,Method,InputFolder,NumFolds,RandomSeed,Score
Fri Feb 16 16:22:51 2018,svm,test,5,101,100
Fri Feb 16 16:48:19 2018,svm,test,5,101,100
Fri Feb 16 16:48:29 2018,svm,test,5,101,100
Fri Feb 16 16:49:15 2018,svm,test,5,101,100
Fri Feb 16 16:52:31 2018,svm,test,5,101,100
Fri Feb 16 16:55:53 2018,mlp,test,5,101,100
Fri Feb 16 16:56:00 2018,gnb,test,5,101,100
Fri Feb 16 16:56:04 2018,bnb,test,5,101,100
Fri Feb 16 17:15:40 2018,svm,test,5,101,100
Fri Feb 16 17:17:34 2018,svm,test,5,101,96.66666667
Fri Feb 16 17:18:53 2018,svm,test,5,101,93.33333333
Fri Feb 16 17:19:06 2018,svm,test,5,101,93.33333333
Fri Feb 16 17:37:12 2018,dt,test,5,101,93.33333333
Fri Feb 16 17:37:17 2018,knn,test,5,101,93.33333333
Fri Feb 16 17:41:37 2018,svm,test,5,101,93.33333333
Fri Feb 16 21:04:27 2018,svm,test,5,101,93.33333333
Thu Feb 22 13:56:15 2018,svm,test,5,101,93.33333333
Thu Feb 22 14:23:16 2018,svm,test,5,101,93.33333333
Thu Feb 22 14:23:35 2018,svm,test,5,101,93.33333333
Thu Feb 22 14:25:17 2018,svm,test,5,101,93.33333333
Thu Feb 22 14:25:52 2018,svm,test,5,101,93.33333333
Thu Feb 22 14:26:45 2018,svm,test,5,101,93.33333333
Thu Feb 22 14:27:08 2018,svm,test,5,101,93.33333333
Thu Feb 22 14:27:08 2018,gnb,test,5,101,93.33333333
Thu Feb 22 14:27:08 2018,bnb,test,5,101,93.33333333
Thu Feb 22 14:27:08 2018,mlp,test,5,101,93.33333333
Thu Feb 22 14:27:09 2018,dt,test,5,101,93.33333333
Thu Feb 22 14:27:09 2018,knn,test,5,101,93.33333333
Thu Feb 22 14:27:49 2018,svm,test,5,101,93.33333333
Thu Feb 22 14:27:49 2018,gnb,test,5,101,93.33333333
Thu Feb 22 14:27:49 2018,bnb,test,5,101,93.33333333
Thu Feb 22 14:27:49 2018,mlp,test,5,101,93.33333333
Thu Feb 22 14:27:49 2018,dt,test,5,101,93.33333333
Thu Feb 22 14:27:49 2018,knn,test,5,101,93.33333333
Thu Feb 22 16:07:01 2018,svm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5,101,51.36679537
Thu Feb 22 16:07:01 2018,gnb,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5,101,58.57400257
Thu Feb 22 16:07:01 2018,bnb,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5,101,50.87129987
Thu Feb 22 16:07:30 2018,mlp,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5,101,48.06263406
Thu Feb 22 16:07:30 2018,dt,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5,101,51.48948949
Thu Feb 22 16:07:30 2018,knn,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5,101,44.30973831
Thu Feb 22 16:07:31 2018,svm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5,2002,51.36679537
Thu Feb 22 16:07:31 2018,gnb,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5,2002,58.57400257
Thu Feb 22 16:07:31 2018,bnb,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5,2002,50.87129987
Thu Feb 22 16:08:02 2018,mlp,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5,2002,46.5027885
Thu Feb 22 16:08:02 2018,dt,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5,2002,52.63148863
Thu Feb 22 16:08:02 2018,knn,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5,2002,44.30973831
Thu Feb 22 16:08:03 2018,svm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5,30003,51.36679537
Thu Feb 22 16:08:03 2018,gnb,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5,30003,58.57400257
Thu Feb 22 16:08:03 2018,bnb,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5,30003,50.87129987
